day_index,当前状态,转为缓和,转为维持,转为升级,综合状态转移压力,物理压力,恢复证据,说明
60,缓和,0.45434099918733073,0.545657875110425,1.1257022442566497e-06,0.8313955791753518,0.0,0.0,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
60,维持,0.06020299407079881,0.8787326079779126,0.06106439795128868,0.8313955791753518,0.0,0.0,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
60,升级,8.374873576103795e-07,0.22868326339616152,0.7713158991164809,0.8313955791753518,0.0,0.0,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
90,缓和,0.4432556622690578,0.5567431062145168,1.2315164253253066e-06,0.8313955791753518,0.4411072482207507,0.598754064899032,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
90,维持,0.057211909039489944,0.8777151040097317,0.0650729869507784,0.8313955791753518,0.4411072482207507,0.598754064899032,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
90,升级,7.400249388239419e-07,0.2123884803188708,0.7876107796561904,0.8313955791753518,0.4411072482207507,0.598754064899032,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
120,缓和,0.4564826506630514,0.543516199205428,1.1501315206217251e-06,0.8313955791753518,0.48696414758648837,0.5548423305727562,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
120,维持,0.060070119154152425,0.8779700663002886,0.06195981454555896,0.8313955791753518,0.48696414758648837,0.5548423305727562,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
120,升级,8.103245079699333e-07,0.22156321551182423,0.7784359741636677,0.8313955791753518,0.48696414758648837,0.5548423305727562,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
150,缓和,0.44500998781574863,0.5549887716166764,1.2405675750248935e-06,0.8313955791753518,0.6515708057205465,0.38417891434944285,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
150,维持,0.057055399332365475,0.8778303866446976,0.065114214022937,0.8313955791753518,0.6515708057205465,0.38417891434944285,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
150,升级,7.369953302036153e-07,0.21212705675813368,0.7878722062465362,0.8313955791753518,0.6515708057205465,0.38417891434944285,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
180,缓和,0.4487297766819535,0.551269006473487,1.2168445594924147e-06,0.8313955791753518,0.6444921720760696,0.3893207172166075,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
180,维持,0.05772764151091417,0.8781864690820471,0.0640858894070388,0.8313955791753518,0.6444921720760696,0.3893207172166075,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
180,升级,7.592670984448566e-07,0.21608020189702554,0.783919038835876,0.8313955791753518,0.6444921720760696,0.3893207172166075,历史全样本矩阵（2017-2025历史价格状态转移校准），在logit空间加入物理压力、恢复证据门控和GPR/OVX扰动后经softmax归一
